Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
trexx,RU,"fade, sova, gekko",3,146,220.4,1.23,78%,141.5,0.73,0.4,0.09,0.06,19%,13%,Feb-16,18,107,87,58,13,9
romi,CL,"vyse, cypher, killjoy",3,529,203.5,1.33,74%,135.7,0.77,0.22,0.07,0.06,34%,13%,Dec-96,29,405,304,117,35,34
voriac,US,"sova, fade, gekko",3,669,211.1,1.15,74%,143.7,0.72,0.35,0.06,0.05,21%,19%,20/105,22,484,420,233,37,32
blurry,TH,"phoenix, raze, jett",3,127,251.9,1.1,67%,159.6,0.87,0.22,0.14,0.17,20%,25%,03-Dec,25,111,101,28,18,21
audaz,TR,"omen, astra, viper",3,395,199.8,1.15,74%,132.5,0.72,0.37,0.08,0.05,36%,16%,Oct-61,23,284,247,148,31,20
Rayy,ID,"kayo, breach",2,31,267.5,0.93,74%,156.3,0.87,0.48,0.03,0.06,32%,,0/10,15,27,29,15,1,2
zekken,US,"yoru, raze, omen",3,559,241.6,1.21,75%,151.1,0.84,0.25,0.21,0.19,25%,20%,Jul-35,27,470,389,140,116,105
Asuka,TW,"viper, omen",2,48,226,1.27,77%,143.3,0.79,0.46,0.06,0.04,33%,,0/8,23,38,30,22,3,2
sonofcar,US,"yoru, jett, raze",3,1475,256.7,1.22,71%,168.1,0.91,0.2,0.22,0.18,24%,17%,19/114,33,1335,1094,296,320,262
tomatte,ES,tejo,1,39,213,1.3,79%,146.6,0.77,0.21,0.1,0.05,30%,,0/3,19,30,23,8,4,2
pashalime,CH,fade,1,24,237,1.17,71%,172.9,0.88,0.25,0.04,0,38%,,0/2,21,21,18,6,1,0
pulzE,KR,vyse,1,39,216,1,64%,133.2,0.77,0.23,0.13,0.05,31%,17%,01-Jun,17,30,30,9,5,2
haeyoday,UN,"iso, jett, reyna",3,435,261.6,1.19,70%,167.9,0.95,0.14,0.2,0.14,38%,15%,May-33,27,412,346,63,85,63
purp0,RU,"raze, jett, neon",3,161,234.6,1.31,73%,152.5,0.88,0.11,0.22,0.14,48%,10%,01-Oct,32,141,108,17,35,22
Muddy,LA,"omen, iso, jett",3,1098,248.4,1.21,74%,164.3,0.88,0.21,0.15,0.12,31%,11%,Oct-90,33,970,801,233,168,137
falcone,BR,"vyse, breach, viper",3,59,201,1.24,81%,127,0.69,0.44,0.07,0.05,31%,10%,01-Oct,14,41,33,26,4,3
h1perZ,BR,"sova, fade",2,60,241,1.09,77%,162.9,0.82,0.43,0.05,0.12,22%,17%,02-Dec,23,49,45,26,3,7
Leosen,DE,"cypher, kayo, yoru",3,243,222.4,1.3,79%,140,0.82,0.35,0.09,0.08,33%,26%,May-19,21,200,154,84,21,19
xyro,VN,"raze, sage",2,64,248.7,1.19,67%,157.4,0.89,0.23,0.16,0.16,21%,17%,01-Jun,21,57,48,15,10,10
Inst1nct,GB,"viper, sova",2,57,205.7,1.29,79%,138.4,0.7,0.28,0.14,0.04,21%,11%,01-Sep,17,40,31,16,8,2
Kaith,UN,jett,1,54,263,1.24,70%,165.6,0.94,0.19,0.2,0.19,25%,50%,03-Jun,32,51,41,10,11,10
