Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Dambi,KR,"neon, breach, jett",3,334,237.1,1.14,72%,146.2,0.81,0.23,0.19,0.17,24%,25%,Apr-16,24,272,239,78,64,57
soggyseal278,IE,"jett, neon, raze",3,168,260.4,1.11,69%,171.2,0.87,0.27,0.24,0.17,20%,13%,01-Aug,25,146,131,45,40,28
aspas,BR,"jett, raze, neon",3,483,216.4,1.14,71%,144.2,0.79,0.14,0.17,0.13,26%,19%,Oct-52,27,380,333,69,82,62
mads,GB,"raze, jett",2,196,228.9,1.12,72%,150.5,0.82,0.16,0.17,0.14,21%,11%,Mar-27,24,161,144,32,33,27
CENTCH,AU,"vyse, sage",2,82,235.3,1.13,74%,139.2,0.77,0.37,0.12,0.12,15%,,0/3,22,63,56,30,10,10
mazen,TN,"reyna, raze, omen",3,73,228.7,1.1,67%,142.7,0.75,0.22,0.04,0,28%,11%,01-Sep,22,55,50,16,3,0
cxL,KR,"astra, breach",2,41,214,1,76%,133.2,0.76,0.44,0.05,0.05,35%,,0/12,19,31,31,18,2,2
Sylva,GB,"viper, omen, astra",3,449,205.5,1.12,70%,133.7,0.73,0.28,0.08,0.07,32%,19%,16/84,22,328,293,126,38,32
Zeukos,US,omen,1,135,207.9,1,70%,134.6,0.74,0.47,0.08,0.04,22%,5%,Jan-20,20,100,100,63,11,5
Akita,FR,"jett, raze, neon",3,499,244.8,1.16,70%,158.2,0.85,0.16,0.24,0.2,26%,23%,Jun-26,27,424,364,81,119,99
Yara,UN,"sova, omen",2,98,222.4,1.06,71%,150.9,0.78,0.21,0.07,0.06,30%,11%,Feb-18,21,76,72,21,7,6
Sato,BR,"yoru, jett, raze",3,491,240.1,1.17,70%,156.5,0.86,0.18,0.18,0.15,31%,25%,Jun-24,35,423,362,89,89,75
Lyssa,AR,"omen, jett",2,35,222.5,0.97,60%,139.9,0.8,0.06,0.17,0.11,29%,,0/5,15,28,29,2,6,4
vora,US,"sage, sova, fade",3,404,198.5,1.12,76%,133.1,0.7,0.38,0.05,0.07,33%,19%,Aug-43,23,281,252,152,19,27
toozy,US,"tejo, omen, viper",3,1604,199.9,1.09,76%,128.2,0.7,0.45,0.07,0.07,26%,22%,42/191,27,1118,1025,728,107,112
nightz,US,"omen, viper",2,306,205.5,1.09,78%,133.8,0.73,0.39,0.09,0.06,40%,11%,Mar-27,27,222,203,119,28,17
t3xture,KR,"neon, jett, raze",3,754,237.9,1.23,70%,150.9,0.84,0.18,0.19,0.16,26%,26%,14/54,27,637,520,134,146,118
fluxxy,SX,"omen, astra, viper",3,664,197.8,1.08,74%,133.5,0.7,0.4,0.07,0.07,30%,17%,17/98,30,466,432,265,49,49
caydia,US,"breach, kayo, fade",3,136,210.1,1.11,76%,109.2,0.73,0.43,0.1,0.06,18%,13%,Feb-16,17,99,89,58,13,8
eva,TR,"sova, skye, breach",3,789,201.9,1.15,77%,132,0.74,0.3,0.08,0.05,27%,13%,14/104,25,581,506,239,66,40
Kadoom,TH,"neon, jett",2,82,270.3,1.06,71%,171.1,0.89,0.21,0.23,0.21,34%,33%,01-Mar,22,73,69,17,19,17
ghoul33,BR,"jett, iso, omen",3,265,240,1.23,70%,160.3,0.86,0.22,0.16,0.15,29%,20%,Apr-20,29,227,184,57,43,39
korosu,KR,"cypher, reyna, raze",3,191,248.8,1.07,70%,172.3,0.85,0.2,0.13,0.13,41%,10%,01-Oct,26,163,153,39,25,24
bellatr1x,RU,"viper, omen, astra",3,430,224.2,1.14,69%,147.2,0.8,0.29,0.1,0.11,49%,19%,Jul-36,29,344,303,125,42,49
qpert,RS,"omen, viper",2,318,189.4,1.13,81%,117.1,0.67,0.46,0.07,0.06,28%,25%,Oct-40,17,212,187,146,21,20
Nakya,ID,"gekko, breach, yoru",3,88,231.3,1.17,81%,144.7,0.86,0.35,0.15,0.11,28%,33%,01-Mar,24,76,65,31,13,10
ninzakar,HU,"fade, sova",2,406,212.2,1.12,75%,141.8,0.73,0.32,0.07,0.07,30%,5%,Feb-42,27,298,267,128,30,28
delbisky,PH,"vyse, cypher, killjoy",3,274,218.5,1.21,72%,149.7,0.79,0.16,0.09,0.09,27%,10%,Apr-42,28,217,180,45,26,26
Outcazt,BG,"reyna, jett, omen",3,247,201.2,1.09,75%,136.9,0.75,0.4,0.1,0.1,30%,17%,May-29,25,186,170,100,24,24
r1seN,IN,"astra, omen",2,129,180.4,1.08,76%,121.2,0.67,0.56,0.08,0.09,27%,19%,Mar-16,16,86,80,72,10,11
Teff,MX,breach,1,104,205.2,0.97,75%,136.6,0.71,0.38,0.07,0.02,25%,19%,Apr-21,20,74,76,40,7,2
f0rsakeN,ID,"sova, fade, omen",3,1123,210,1.1,74%,139.3,0.74,0.39,0.1,0.1,28%,32%,24/76,27,832,755,436,103,101
EveR,KR,"kayo, breach, tejo",3,253,167.8,1.08,75%,115.6,0.6,0.44,0.03,0.06,41%,26%,Jul-27,21,153,142,112,8,14
Stay,CA,"chamber, cypher",2,41,203,1.21,59%,140.9,0.71,0.12,0.27,0.12,35%,20%,01-May,16,29,24,5,11,5
koalanoob,CA,"yoru, omen, raze",3,299,246.9,1.13,73%,154.2,0.85,0.27,0.22,0.13,25%,14%,Feb-14,28,255,226,81,66,40
332,KR,"killjoy, vyse, reyna",3,253,212.6,1.24,73%,140.4,0.76,0.2,0.1,0.11,23%,12%,Apr-33,25,193,156,50,25,27
LiNLiN,CR,"omen, astra, viper",3,301,203.1,1.19,75%,132.4,0.75,0.39,0.11,0.05,34%,10%,01-Oct,20,225,189,118,33,15
rus,SG,"yoru, raze",2,60,219.7,1.02,63%,143.1,0.77,0.23,0.17,0.12,22%,11%,01-Sep,24,46,45,14,10,7
xZe,TH,"brimstone, killjoy, omen",3,119,189.5,1.1,73%,131.4,0.67,0.27,0.07,0.07,40%,12%,Feb-17,21,80,73,32,8,8
Sinaway,AU,"omen, viper, astra",3,776,204.5,1.11,76%,135.8,0.74,0.41,0.07,0.07,29%,14%,13/92,28,574,519,319,56,56
Ven,IN,"killjoy, breach",2,148,205.5,1.28,74%,140.6,0.74,0.19,0.07,0.05,31%,8%,Jan-13,22,110,86,28,10,8
Flaring,SG,"harbor, astra, breach",3,324,198.3,1.06,78%,127.2,0.72,0.49,0.06,0.08,25%,18%,May-28,23,232,219,159,20,25
Snaptor,NO,"fade, sova, omen",3,167,192.9,1.12,78%,134,0.66,0.38,0.05,0.05,28%,20%,Mar-15,18,111,99,64,9,9
Aelius,PH,"breach, kayo",2,39,225,1.03,74%,134.7,0.82,0.26,0.05,0.1,49%,14%,01-Jul,18,32,31,10,2,4
Rimuu,DE,"omen, clove",2,69,258,1.12,75%,171.3,0.96,0.32,0.1,0.09,36%,11%,01-Sep,35,66,59,22,7,6
KvS,BR,"gekko, breach, killjoy",3,59,194,1.05,75%,129.4,0.68,0.39,0.12,0.08,21%,,0/8,15,40,38,23,7,5
4joniboy,ID,omen,1,26,199,1.06,77%,145.6,0.65,0.42,0.04,0.04,33%,17%,01-Jun,17,17,16,11,1,1
Magician,ID,"omen, yoru, chamber",3,129,218.3,1.02,71%,138.8,0.75,0.32,0.12,0.08,23%,30%,Jun-20,22,97,95,41,16,10
Jangsterii,FI,"breach, omen",2,154,210.3,0.95,67%,132.7,0.71,0.47,0.08,0.06,24%,19%,May-27,28,109,115,72,12,10
Mistic,GB,"viper, omen, astra",3,419,193,1.09,73%,125.8,0.7,0.36,0.07,0.06,33%,15%,Nov-73,26,293,268,151,28,26
doma,HR,"breach, sova, yoru",3,629,195.6,1.16,76%,130.4,0.7,0.31,0.06,0.07,26%,20%,14/69,23,440,379,198,36,44
awpi,CA,"sova, tejo, clove",3,125,202.1,1.08,73%,138,0.75,0.27,0.07,0.07,30%,18%,Mar-17,20,94,87,34,9,9
neptuNo,ES,"viper, breach, omen",3,133,197,1.11,75%,128.3,0.71,0.35,0.08,0.06,37%,25%,May-20,21,94,85,47,11,8
sharp,UN,"neon, yoru",2,32,270,1.07,63%,153.2,0.94,0.09,0.19,0.25,30%,17%,01-Jun,19,30,28,3,6,8
Nicotine,TH,"viper, omen, killjoy",3,57,223.7,1.02,79%,150,0.75,0.3,0.07,0.07,18%,22%,02-Sep,19,43,42,17,4,4
zeek,PL,"fade, sova, kayo",3,629,202.2,1.11,77%,131.5,0.71,0.39,0.08,0.08,29%,13%,Jul-54,26,447,401,245,51,49
eigne,US,"fade, sova, skye",3,492,214.5,1.01,66%,141.8,0.73,0.29,0.07,0.07,29%,14%,Oct-69,37,361,356,143,32,34
Dro9,LT,yoru,1,24,239,1.11,71%,148.5,0.83,0.17,0.17,0.08,11%,33%,01-Mar,20,20,18,4,4,2
tf,JP,sova,1,42,205,0.97,74%,137.3,0.74,0.14,0.17,0.05,26%,14%,01-Jul,22,31,32,6,7,2
MaximN,BE,"omen, sova, brimstone",3,305,186.9,1.09,71%,123.4,0.68,0.34,0.06,0.04,22%,16%,Oct-61,29,208,191,103,17,13
glowstick,US,"fade, chamber, sova",3,282,191.7,0.97,72%,129.6,0.69,0.45,0.04,0.05,30%,13%,Apr-31,29,194,199,128,12,15
dino,JP,"gekko, yoru, fade",3,96,225.6,1.13,72%,150,0.84,0.21,0.14,0.05,32%,7%,Jan-14,20,81,72,20,13,5
Katashio,US,"iso, killjoy, neon",3,265,235,1.02,71%,153.2,0.81,0.26,0.1,0.07,28%,13%,Jun-46,28,215,210,69,26,19
jduh,TR,"omen, viper, brimstone",3,594,216.1,1.06,73%,141.9,0.76,0.36,0.09,0.08,35%,13%,Dec-89,29,450,426,215,56,49
mada,CA,"jett, neon, raze",3,671,244,1.18,71%,154.6,0.86,0.15,0.26,0.19,26%,25%,May-20,29,574,485,100,173,125
JuJu,MV,"gekko, jett",2,50,236.5,1.08,78%,154.9,0.8,0.22,0.18,0.14,25%,,0/4,25,40,37,11,9,7
lynn,UN,killjoy,1,26,237,1.05,65%,146.8,0.81,0.12,0.04,0.12,36%,,0/3,21,21,20,3,1,3
Alfajer,TR,"cypher, killjoy, raze",3,985,234.8,1.18,71%,154.8,0.85,0.15,0.16,0.12,32%,19%,16/84,29,840,709,144,158,118
highh,IT,omen,1,78,215.3,1.05,77%,141.4,0.77,0.32,0.13,0.19,36%,33%,02-Jun,25,60,57,25,10,15
floga,UN,"cypher, vyse, killjoy",3,97,242,1.14,67%,170.4,0.86,0.11,0.14,0.1,38%,10%,01-Oct,26,83,73,11,14,10
lukyololo,CZ,"neon, yoru, clove",3,164,245.8,1.13,68%,159.6,0.92,0.19,0.23,0.16,26%,14%,Feb-14,29,151,134,31,38,26
sh1n,FR,"brimstone, omen",2,161,193.1,1.11,76%,126.1,0.7,0.4,0.07,0.04,35%,14%,Mar-21,19,112,101,64,12,7
OvO,AU,"cypher, killjoy, vyse",3,288,212.7,1.08,68%,145.7,0.76,0.21,0.08,0.13,25%,20%,Aug-41,25,219,202,61,23,38
zenox,EG,"gekko, neon, yoru",3,583,239.9,1.07,68%,159.6,0.82,0.21,0.18,0.16,31%,14%,May-36,35,479,448,125,106,95
ZyRo,ID,jett,1,28,292,1.08,68%,190.3,1,0.25,0.14,0.07,28%,,0/5,28,28,26,7,4,2
SyouTa,JP,"omen, astra",2,45,210.5,1.03,64%,139.2,0.76,0.27,0.07,0.04,52%,,0/6,17,34,33,12,3,2
Kally,KR,"tejo, fade, sova",3,261,186.6,1.11,75%,125.1,0.68,0.29,0.07,0.03,32%,13%,Apr-31,23,177,160,75,18,9
DH,KR,omen,1,267,195.4,1.04,74%,127.1,0.7,0.46,0.07,0.09,38%,27%,Jul-26,23,188,180,123,20,23
noxinc,TH,"cypher, killjoy, viper",3,177,216.8,1.1,69%,138.6,0.77,0.22,0.07,0.09,36%,12%,Mar-25,24,136,124,39,12,16
chloric,US,"cypher, killjoy, tejo",3,644,202.5,1.09,71%,138.6,0.71,0.26,0.08,0.1,24%,17%,19/111,33,460,423,170,50,66
HYUNMIN,KR,"neon, jett, yoru",3,726,237.5,1.17,70%,153.3,0.83,0.19,0.16,0.13,31%,11%,Mar-27,32,604,518,140,82,70
bethany,AU,"omen, sage, tejo",3,256,188.4,1.09,81%,121.4,0.66,0.45,0.06,0.05,23%,18%,May-28,20,169,155,114,15,13
Saluat,TW,jett,1,83,244.8,1.13,73%,161,0.84,0.13,0.17,0.17,38%,13%,01-Aug,26,70,62,11,14,14
iwi,VN,"sova, gekko",2,38,197,0.9,63%,149,0.74,0.18,0.08,0.08,43%,33%,03-Sep,22,28,31,7,3,3
xexxar,KZ,jett,1,24,260,1.21,67%,174.8,0.96,0,0.25,0.08,37%,,0/1,23,23,19,0,6,2
SUYGETSU,UN,"omen, viper, astra",3,635,204.8,1.07,74%,134.8,0.73,0.33,0.09,0.08,44%,21%,18/86,26,464,432,211,58,50
L4CE,US,"jett, vyse, sova",3,203,216.6,1.1,75%,143.5,0.78,0.18,0.1,0.04,37%,14%,May-37,21,158,144,36,20,8
Venka,IN,"iso, yoru, neon",3,381,223.2,1.13,71%,150.3,0.8,0.24,0.12,0.12,35%,13%,Apr-30,31,305,271,91,44,46
Lian,CA,"tejo, breach, killjoy",3,58,243,1.11,78%,158.7,0.9,0.22,0.14,0.1,31%,,0/6,18,52,47,13,8,6
Kevzii,PH,sova,1,51,194.3,0.94,59%,138.6,0.67,0.18,0.02,0.12,38%,20%,02-Oct,17,34,36,9,1,6
safiaa,FR,"cypher, killjoy, vyse",3,750,213.1,1.18,73%,143.7,0.78,0.2,0.11,0.08,30%,6%,May-77,30,582,492,150,84,58
Inf,SG,"vyse, cypher, killjoy",3,136,218.2,1.15,65%,143.7,0.79,0.17,0.13,0.12,36%,27%,Jul-26,22,108,94,23,17,16
Dasani,AU,tejo,1,106,236.6,1.06,77%,155,0.81,0.28,0.08,0.08,24%,8%,Jan-13,23,86,81,30,8,8
Agla,FR,"fade, sova, brimstone",3,207,219.7,1.01,71%,153.6,0.76,0.34,0.1,0.09,31%,10%,Feb-20,27,157,155,71,20,19
Xaphyy,SG,"sova, fade",2,42,209.5,0.91,57%,145,0.71,0.21,0.05,0.05,28%,14%,01-Jul,17,30,33,9,2,2
zylina,PH,"jett, neon, raze",3,111,240.3,1.11,68%,153.6,0.82,0.13,0.33,0.16,31%,11%,01-Sep,21,91,82,14,37,18
Anthem,JP,"sova, tejo",2,92,182.3,1.17,76%,119.2,0.66,0.2,0.08,0.04,31%,14%,Feb-14,18,61,52,18,7,4
IKANA,AU,"sova, tejo, gekko",3,638,207.2,1.16,76%,138,0.72,0.29,0.07,0.06,26%,16%,Oct-64,23,461,399,188,43,41
MiLuan,TW,"viper, omen, vyse",3,160,213.8,1.06,73%,144,0.73,0.33,0.09,0.04,30%,26%,May-19,24,117,110,53,15,7
havoc,BR,"cypher, vyse, killjoy",3,248,224.1,1.16,73%,144.9,0.79,0.19,0.13,0.08,39%,25%,Apr-16,21,195,168,47,33,21
gabby,UN,"cypher, vyse",2,61,237.3,1.08,84%,155.2,0.87,0.18,0.08,0.03,26%,22%,02-Sep,18,53,49,11,5,2
antiq,MV,"jett, reyna",2,50,221,1.08,74%,145.6,0.8,0.16,0.06,0.1,31%,33%,02-Jun,22,40,37,8,3,5
Ticey,GB,"omen, harbor, deadlock",3,201,211.1,1.06,78%,132.1,0.73,0.4,0.1,0.12,19%,25%,Apr-16,22,147,139,80,20,24
zombzino,CA,"sova, fade",2,39,210.5,1.03,69%,136.5,0.79,0.26,0.1,0.1,35%,22%,02-Sep,18,31,30,10,4,4
Sp1ke,RU,"iso, raze, jett",3,159,230.3,1.15,71%,154.8,0.82,0.19,0.13,0.09,26%,8%,Jan-13,28,131,114,30,20,15
enn,SG,"omen, jett",2,279,212.4,1.03,72%,136.7,0.76,0.41,0.08,0.07,25%,8%,Mar-40,26,211,204,113,21,19
exa,KR,"omen, yoru, brimstone",3,263,212.1,1.1,75%,138.4,0.76,0.38,0.06,0.11,29%,7%,Feb-29,25,199,181,101,17,28
Lyda,TR,"cypher, killjoy, chamber",3,547,215.3,1.12,71%,143.8,0.79,0.18,0.09,0.06,31%,11%,Nov-97,36,433,385,97,50,33
Azami,SG,"sova, tejo, fade",3,318,209.5,1.07,73%,144.9,0.75,0.26,0.08,0.03,25%,6%,Feb-32,28,237,221,82,24,11
Spitfires,CN,"neon, raze, jett",3,250,240.3,1.26,73%,149.3,0.86,0.2,0.19,0.14,30%,,,28,214,170,49,37,27
thooOOM,NL,"raze, cypher",2,41,215.5,1,73%,143.9,0.73,0.12,0.12,0.07,30%,13%,01-Aug,21,30,30,5,5,3
misu,US,"sova, fade, omen",3,287,209.3,1.05,72%,140.5,0.75,0.28,0.05,0.06,26%,20%,Aug-41,24,215,205,80,13,16
antG,BR,"kayo, breach, deadlock",3,529,201.3,1.13,73%,129.8,0.73,0.36,0.09,0.08,30%,14%,Jun-44,22,386,341,192,47,44
JSP,CA,"astra, omen",2,172,203.5,1.05,74%,125.3,0.72,0.48,0.12,0.06,36%,30%,Jun-20,22,124,118,83,21,11
Zeo,UN,"viper, omen",2,73,225.3,1.05,62%,147.6,0.81,0.37,0.05,0.03,24%,22%,02-Sep,24,59,56,27,4,2
deyten,RS,"viper, omen",2,155,226.7,1.08,72%,141.8,0.76,0.39,0.08,0.08,27%,13%,Feb-16,20,118,109,60,12,12
Kamiyu,PH,"omen, astra, viper",3,329,216.6,1.14,78%,141,0.72,0.4,0.08,0.1,26%,8%,Feb-24,22,238,208,130,27,33
Sa1koro,TW,"omen, sova",2,160,183.9,1.04,74%,115,0.64,0.43,0.06,0.01,23%,14%,Apr-29,15,103,99,69,9,2
GGonyaK,KR,"vyse, iso, jett",3,193,234.7,1.13,68%,152.2,0.85,0.15,0.11,0.11,32%,10%,Feb-21,28,164,145,28,21,22
aster,IT,omen,1,44,248.5,1.06,77%,162.6,0.84,0.32,0.02,0.14,38%,,0/4,21,37,35,14,1,6
Miyako,PH,"gekko, killjoy",2,36,233,0.93,64%,161.8,0.78,0.06,0.11,0,18%,14%,01-Jul,16,28,30,2,4,0
Alluka,PH,"breach, harbor, kayo",3,360,183.7,1.06,81%,117.4,0.64,0.63,0.04,0.08,28%,18%,Apr-22,20,230,216,225,15,28
azury,DE,"viper, cypher",2,243,192.4,1.22,76%,124.8,0.72,0.23,0.07,0.05,33%,11%,Feb-18,22,175,143,56,16,13
Lune,UN,"cypher, vyse, killjoy",3,72,234.3,1.02,68%,150.4,0.86,0.15,0.13,0.1,34%,6%,Jan-16,19,62,61,11,9,7
cool,UN,"killjoy, cypher",2,73,212.7,1.08,64%,158.5,0.77,0.16,0.04,0.07,25%,13%,Feb-15,29,56,52,12,3,5
LeeN,FR,"jett, raze, neon",3,432,245.4,1.17,70%,153.6,0.86,0.18,0.18,0.19,27%,12%,Mar-26,24,370,317,78,79,83
Ethan,TW,"cypher, killjoy",2,83,213.5,1.08,55%,141.1,0.77,0.13,0.12,0.17,37%,13%,01-Aug,21,64,59,11,10,14
Erv,CN,"raze, kayo",2,47,224,1.03,60%,153.7,0.77,0.3,0.19,0.09,26%,,,18,36,35,14,9,4
v1c,US,"omen, astra, viper",3,308,197.8,1.09,77%,126.7,0.69,0.39,0.12,0.08,29%,24%,Sep-38,21,213,196,121,37,24
M1KE,ID,"omen, yoru",2,54,236,1.09,65%,153.5,0.87,0.2,0.19,0.15,27%,11%,01-Sep,20,47,43,11,10,8
oonzmlp,KR,"omen, iso, harbor",3,296,208.2,1.11,69%,133.1,0.75,0.24,0.11,0.09,29%,18%,Jul-38,24,221,199,70,34,28
Lexa,TR,"vyse, killjoy, sage",3,205,217.3,1.12,69%,137.6,0.76,0.3,0.12,0.12,33%,25%,03-Dec,22,155,139,61,25,24
Xyth3a,KR,"omen, astra, viper",3,288,207.2,1.11,71%,137.3,0.76,0.28,0.07,0.06,35%,15%,Jun-39,33,219,198,81,21,18
Aiki,CH,viper,1,22,195,1.25,73%,146,0.68,0.36,0.05,0.09,48%,,0/3,15,15,12,8,1,2
cNed,TR,"jett, neon, omen",3,289,223.5,1.07,71%,144.4,0.81,0.26,0.12,0.13,32%,11%,Apr-37,25,233,217,76,36,38
Dep,JP,"cypher, viper, killjoy",3,298,207.7,0.99,71%,141.8,0.73,0.2,0.13,0.1,33%,13%,Apr-30,22,217,219,61,30,24
r1zvaN,BA,"cypher, viper, iso",3,173,219.1,1.14,71%,146,0.82,0.19,0.08,0.06,38%,19%,May-27,32,142,125,33,14,10
aNNja,RS,"raze, reyna",2,45,253.5,1.11,69%,179.5,0.91,0.22,0.13,0.09,37%,20%,01-May,26,41,37,10,6,4
alym,KG,"iso, yoru, neon",3,1050,253,1.16,71%,159,0.88,0.2,0.24,0.19,30%,15%,Aug-52,29,922,798,211,249,201
Melo,UN,"sova, fade",2,314,196.9,1.06,71%,130.4,0.71,0.19,0.05,0.04,27%,17%,Sep-52,24,222,209,59,15,12
luckycat,TH,jett,1,21,264,1.12,57%,154.5,0.9,0.1,0.29,0.14,59%,50%,01-Feb,19,19,17,2,6,3
Lar0k,TR,"breach, raze, neon",3,582,203.6,1.08,75%,131.9,0.71,0.31,0.08,0.07,33%,10%,Jun-62,25,413,383,182,49,39
hoka,IE,"raze, killjoy, yoru",3,165,237.1,1.18,72%,156.6,0.83,0.16,0.16,0.07,25%,,0/12,29,137,116,26,27,12
3dizzy,UN,"chamber, cypher",2,42,226.5,0.94,60%,140.5,0.76,0.21,0.17,0.1,31%,,0/13,17,32,34,9,7,4
budimeisteR,ID,"viper, omen",2,158,188.6,1.03,73%,117.7,0.66,0.51,0.09,0.07,36%,5%,Jan-22,21,104,101,81,15,11
Duo,KW,"kayo, sova, tejo",3,71,223.5,0.92,76%,150.9,0.8,0.28,0.1,0.11,37%,14%,01-Jul,18,57,62,20,7,8
something,RU,"jett, yoru, sova",3,1123,209.6,1.13,74%,137.8,0.76,0.21,0.15,0.11,27%,15%,20/134,32,855,756,231,155,111
4Tapping,LT,viper,1,69,191.7,0.95,75%,131,0.59,0.43,0.1,0.06,23%,23%,Mar-13,15,41,43,30,7,4
melloh,UN,viper,1,36,243,0.97,64%,156.2,0.83,0.11,0.03,0.06,38%,22%,02-Sep,20,30,31,4,1,2
Cohburg,US,"tejo, omen, viper",3,1528,208.4,1.08,72%,132.6,0.73,0.34,0.09,0.09,23%,13%,29/220,34,1114,1036,517,138,133
Yoshiii,PH,"killjoy, cypher, vyse",3,327,223.4,1.12,73%,146.8,0.81,0.18,0.12,0.07,34%,14%,Jun-44,25,265,237,60,38,23
roxthi,BR,"cypher, killjoy, viper",3,119,232.8,1.04,69%,148.6,0.81,0.24,0.1,0.1,27%,6%,Jan-16,21,96,92,29,12,12
Persia,KR,"astra, omen, clove",3,334,192.8,1.05,74%,120.9,0.69,0.42,0.09,0.07,27%,14%,Jul-49,22,229,218,140,31,22
Frugelle,MX,killjoy,1,21,238,1.07,71%,162.3,0.76,0.33,0.1,0.1,17%,,0/3,16,16,15,7,2,2
ZmjjKK,CN,"neon, jett, waylay",3,387,241.7,1.09,71%,157.2,0.85,0.22,0.19,0.24,23%,,0/6,31,329,301,87,72,93
ikyoo,DK,"chamber, yoru, omen",3,155,202.4,1.08,70%,132.4,0.71,0.28,0.16,0.13,33%,5%,Jan-20,20,110,102,44,25,20
renz,US,"neon, sova, breach",3,1205,223.4,1.09,71%,146.4,0.79,0.25,0.12,0.11,26%,13%,14/106,28,949,867,305,141,135
Redgar,RU,"breach, kayo, deadlock",3,76,213.5,0.97,71%,140.3,0.74,0.42,0.08,0.09,34%,,0/13,26,56,58,32,6,7
Klamran,CA,"omen, viper",2,246,196.8,0.98,73%,125.4,0.71,0.38,0.06,0.08,28%,26%,Dec-46,20,175,179,93,15,19
conir,CL,"viper, omen, harbor",3,312,202.6,1.05,72%,131,0.72,0.39,0.07,0.07,31%,20%,Sep-45,24,225,214,121,22,22
yosemite,CN,"cypher, vyse, omen",3,207,201,1.11,73%,134.2,0.71,0.2,0.08,0.05,21%,,,19,146,131,42,12,8
Siduzord,BR,"sova, fade, kayo",3,305,190.5,1.09,74%,124.7,0.67,0.29,0.07,0.06,26%,24%,Dec-51,22,203,187,87,22,19
miaf,AU,"omen, skye, fade",3,235,199.3,1.04,71%,131.5,0.69,0.37,0.04,0.09,29%,22%,Aug-36,23,163,156,86,9,21
Tisora,BR,"breach, kayo, raze",3,305,210.6,1.09,75%,138.6,0.74,0.41,0.08,0.1,22%,11%,Feb-19,21,225,206,124,24,31
Zanatsu,BR,"yoru, jett, neon",3,305,236.5,1.13,71%,152.7,0.83,0.18,0.24,0.19,27%,25%,Apr-16,27,252,223,56,74,57
Drog,IE,"reyna, killjoy, cypher",3,395,234.8,1.11,71%,156.3,0.81,0.2,0.14,0.1,31%,17%,May-29,31,319,287,80,55,38
OLIZERA,PT,"killjoy, cypher, viper",3,476,216.3,1.09,73%,143.9,0.78,0.19,0.11,0.08,25%,15%,Nov-72,33,370,338,90,51,39
kibojn,IN,"fade, sova",2,129,180.7,1.05,81%,116.4,0.66,0.36,0.06,0.05,29%,12%,Feb-17,18,85,81,47,8,7
Blahst,US,"chamber, vyse, killjoy",3,989,207.1,1.09,71%,137.8,0.74,0.22,0.08,0.08,25%,14%,21/154,26,730,670,214,79,81
songry,AU,"astra, harbor, tejo",3,262,213,1.02,69%,141.2,0.74,0.33,0.11,0.1,33%,17%,May-30,26,193,190,86,29,25
bee,GB,"viper, killjoy",2,205,203.2,1.12,76%,133.9,0.69,0.34,0.1,0.09,25%,5%,Jan-20,20,142,127,70,21,18
MAMMAL,PS,"astra, gekko, tejo",3,552,218.6,1.09,71%,142.5,0.78,0.28,0.09,0.11,28%,28%,15/54,35,431,397,153,50,58
Zauqk,AU,"tejo, sova, fade",3,776,198.4,1.09,74%,132.4,0.69,0.31,0.07,0.06,22%,15%,14/93,24,538,495,244,56,46
vizsla,AU,"viper, cypher, killjoy",3,776,202.1,1.16,74%,133,0.73,0.21,0.12,0.09,28%,9%,Sep-95,24,564,486,164,90,73
VYX,US,"omen, harbor",2,252,192,1.1,75%,127.1,0.7,0.37,0.05,0.09,28%,19%,May-26,21,177,161,93,13,23
kumi,US,"yoru, raze, vyse",3,1447,209.5,1.11,72%,136.2,0.74,0.19,0.09,0.07,31%,18%,35/194,34,1078,970,282,128,108
above,BR,"omen, astra, viper",3,249,199.8,1.11,71%,133.6,0.73,0.28,0.06,0.04,37%,7%,Mar-42,25,181,163,69,15,11
rezq,TR,"killjoy, phoenix, viper",3,402,216.9,1.14,73%,144.2,0.79,0.21,0.1,0.1,30%,16%,Jul-44,26,318,279,86,40,41
Elixllo,SA,"cypher, viper",2,41,208.5,1.26,80%,136.8,0.71,0.2,0.12,0.05,28%,,0/3,15,29,23,8,5,2
bes,HK,"omen, killjoy, astra",3,416,203,1.13,76%,131.5,0.71,0.36,0.11,0.09,28%,23%,Jul-30,20,296,262,148,44,38
Keiko,GB,"omen, raze, brimstone",3,667,199.2,1.11,72%,130.1,0.73,0.22,0.1,0.07,39%,15%,13/84,29,489,441,150,65,45
frypan,UN,"iso, phoenix",2,36,233.5,1,58%,156.1,0.81,0.22,0.17,0.14,34%,,0/3,15,29,29,8,6,5
taiyaki,JP,"fade, breach",2,56,227.5,1.07,71%,147.6,0.82,0.21,0.05,0.02,26%,,0/5,28,46,43,12,3,1
LeeoLoos,BR,"omen, astra",2,91,210,1,66%,141,0.71,0.25,0.08,0.08,37%,13%,Mar-23,17,65,65,23,7,7
str1keR,SA,"omen, brimstone",2,41,132.5,1.31,80%,86.9,0.51,0.39,0.05,0.02,25%,20%,01-May,11,21,16,16,2,1
